Rank Overall,Rank PAX,Driver Name,Car Number,Codriver Car Number,Class,Class Position,Car Year,Car Model,Total Time,PAX Factor,PAX Time,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6
665,609,Cam Withell,42,[142],SS,1,2016,Porsche Cayman GT4,138.354,0.817,113.035,70.292,72.063,71.992,70.866(1),68.213,68.062
678,620,G.J. Dixon,86,[186],SS,2,2007,Porsche GT3,138.633,0.817,113.263,71.084,72.994,71.916,72.673(1),68.316,67.549
703,639,Charles Kim,96,,SS,3,2010,Porsche GT3,138.899,0.817,113.480,70.107,71.405,DNF,70.115,68.973,68.792
707,641,Ka Kit Gary Tsui,24,,SS,4,2009,Nissan GTR,138.949,0.817,113.521,69.819,72.816,71.756,77.950(3),69.937,69.130
740,663,Pat Salerno,78,[178],SS,5,2016,Porsche GT4,139.518,0.817,113.986,71.122,78.090(2),73.258,72.701(2),69.494,68.396
754,686,Ambrose Fung,87,[187],SS,6,2014,Porsche GT3,139.882,0.817,114.284,71.479,72.992,71.791,DNF,68.403,68.455
763,696,Andy Hollis,1,,SS,7,2012,McLaren 12C,140.125,0.817,114.482,69.691,71.223,71.191,73.921(1),71.149,70.434
779,715,Mark Daddio,186,[86],SS,8,2007,Porsche GT3,140.567,0.817,114.843,71.778,72.233,71.897,73.059(1),68.789,71.623(2)
799,724,Ryan Clark,142,[42],SS,9,2016,Porsche Cayman GT4,140.889,0.817,115.106,72.297,75.715(1),72.366,75.593(3),DNF,68.592
842,784,Keith Brown,176,[76],SS,10,2016,Porsche Cayman GT4,141.955,0.817,115.977,72.591,73.634,72.372,70.161,69.583,69.669
848,786,Monty Pack,98,,SS,11,2018,Porsche GT3,142.011,0.817,116.023,72.571,73.650,74.576,69.623,69.440,71.503(1)
881,835,Dean Rindler,117,[17],SS,12,2017,Acura NSX,142.764,0.817,116.638,72.610,75.645,74.042,75.941,71.540,70.154
897,872,Paul Dornburg,183,[83],SS,13,2018,Porsche 718 Cayman,143.376,0.817,117.138,72.719,73.260,DNF,73.153(1),70.657,72.548(1)
900,876,Jay Zelazo,187,[87],SS,14,2014,Porsche GT3,143.411,0.817,117.167,78.819(1),DNF,73.690,73.762(1),69.721,71.027(1)
927,911,Keith Papulski,62,,SS,15,2018,Audi TT RS Coupe,143.949,0.817,117.606,72.058,73.961,72.747,73.757,72.547,71.891
931,919,Jason Kohler,194,[94],SS,16,2016,Chevy Corvette Z06,144.022,0.817,117.666,76.887,DNF,75.127,71.134,68.895,69.145
964,936,Leeds Gulick,76,[176],SS,17,2016,Porsche Cayman GT4,144.470,0.817,118.032,72.840,75.521,73.093,71.630,74.543(1),72.616(1)
967,939,Terrance Pearson,70,,SS,18,2015,Porsche Cayman S,144.528,0.817,118.079,DNF,73.752,71.784,73.777,72.744,72.901
974,951,Brian Conners,178,[78],SS,19,2016,Porsche GT4,144.674,0.817,118.199,75.692,76.082,75.120,70.774,69.554,69.935(1)
992,984,Paul Townsend,94,[194],SS,20,2016,Chevy Corvette Z06,145.225,0.817,118.649,75.881,77.692,75.890,70.182,70.933,69.344
1031,1029,Christopher Heinzen,191,[91],SS,21,2017,Chevy Corvette GS,146.086,0.817,119.352,76.878,77.037,75.810,71.179,70.544,70.276
1034,1033,Alex Muresan,181,[81],SS,22,2011,Porsche GT3,146.194,0.817,119.440,DNF,DNF,77.918(1),70.593(1),68.276,69.455(1)
1100,1089,Joel Zeller,17,[117],SS,23,2017,Acura NSX,147.815,0.817,120.765,DNF,74.247,DNF,77.825(2),76.182(2),73.568(1)
1149,1124,Chris Craig,69,,SS,24,2018,Porsche 718 Cayman S,149.033,0.817,121.760,83.444(1),77.295,DNF,DNF,73.708,71.738
